id,context,function,subFunction,name,skillElement,skillDescription,skillSynonyms,status
601,,Technology & IT,User Experience Design,Zeplin,  ,,  ,Approved
602,,Technology & IT,User Experience Design,Wizlogo,  ,, wiz logo  wiz-logo ,Approved
603,,Technology & IT,Brand/Product Management,Wireframing,  ,,,Approved
604,,Technology & IT,Brand/Product Management,Voice of the customer,,,,Approved
605,,Technology & IT,User Experience Design,Vectornator,  ,,  ,Approved
606,,Technology & IT,Brand/Product Management,User stories, Acceptance Criteria ,,,Approved
607,,Technology & IT,Brand/Product Management,User research,  ,,,Approved
660,,Technology & IT,Brand/Product Management,User interface design,  ,,,Approved
666,,Technology & IT,Brand/Product Management,User experiences,  ,,,Approved
669,,Technology & IT,Brand/Product Management,User experience design,  ,,,Approved
670,,Technology & IT,Brand/Product Management,User Acceptance Testing,  ,, uat  user-acceptance-testing ,Approved
671,,Technology & IT,Brand/Product Management,Usability studies,  ,,,Approved
672,,Technology & IT,User Experience Design,Twinmotion,  ,, twin-motion  twin motion ,Approved
673,,Technology & IT,Project And Program Management,Trello,  ,,  ,Approved
674,,Technology & IT,User Experience Design,Sympli,  ,, sympyl ,Approved
675,,Technology & IT,Brand/Product Management,SWOT analysis,  ,,,Approved
676,,Technology & IT,Project And Program Management,Strategy alignment ,  ,, Strategic Planning  strategy Execution,Approved
677,,Technology & IT,Brand/Product Management,Sprints, sprint goals  sprint reviews  sprint retrospectives ,,,Approved
678,,Technology & IT,Project And Program Management,Smartsheets,  ,,  ,Approved
679,,Technology & IT,Brand/Product Management,Scrum methodology,  ,,,Approved
680,,Technology & IT,Brand/Product Management,Sales enablement,  ,,,Approved
681,,Technology & IT,Project And Program Management,risk management framework, Problem Solving  Contingency Planning  Decision Making Decision Tree Analysis ,, risk management ,Approved
682,,Technology & IT,Project And Program Management,Resource Management, RACI Matrix ,, capacity management  capacity planning ,Approved
683,,Technology & IT,Brand/Product Management,Release planning,  ,,,Approved
684,,Technology & IT,User Experience Design,Readymag,  ,, ready-mag  ready mag ,Approved
685,,Technology & IT,User Experience Design,ProtoPie,  ,, prototyping application ,Approved
686,,Technology & IT,Project And Program Management,Project Quality,  ,,  ,Approved
687,,Technology & IT,Project And Program Management,Project Planning, time management  schedule management  Program Evaluation Contingency Planning ,,  ,Approved
688,,Technology & IT,Project And Program Management,Project Management, PMBOK  APMBoK  Prince2  Prince2Agile PMP  Task Management  Contingency Plan Problem Management RACI Matrix  5S task management Time Management Project Estimation  decision making  workflow management CAPM  PMI-ACP  PgMP  PfMP  Disciplined Agile  SAFe   Prince2  IPMA  APM  MSP  WBS  dependency management ,, software project management  IT project management ,Approved
689,,Technology & IT,Project And Program Management,Project Lifecycle Management,  ,,  ,Approved
690,,Technology & IT,Project And Program Management,project delivery,  ,, project execution ,Approved
691,,Technology & IT,Project And Program Management,Project Control, Earned Value Project evaluation  Project performance  project status project change control  traceability matrix ,,  ,Approved
692,,Technology & IT,Project And Program Management,Project Communications,  ,, Project coordination ,Approved
693,,Technology & IT,Project And Program Management,Program Management, Program development ,,,Approved
694,,Technology & IT,Project And Program Management,Program Evaluation,  ,,  ,Approved
695,,Technology & IT,Brand/Product Management,Product-Market Fit,  ,,,Approved
696,,Technology & IT,Brand/Product Management,Product Strategy,  ,,,Approved
697,,Technology & IT,Brand/Product Management,Product roadmaps,,,,Approved
698,,Technology & IT,Brand/Product Management,Product Prioritization,,,,Approved
699,,Technology & IT,Brand/Product Management,Product Operations,  ,,,Approved
700,,Technology & IT,Brand/Product Management,Product Messaging,  ,,,Approved
701,,Technology & IT,Brand/Product Management,Product marketing,  ,,,Approved
702,,Technology & IT,Brand/Product Management,Product Life-cycle management,  ,,,Approved
703,,Technology & IT,Brand/Product Management,Product launching,  ,,,Approved
704,,Technology & IT,Brand/Product Management,Product Implementation,  ,,,Approved
705,,Technology & IT,Brand/Product Management,Product Ideation,  ,,,Approved
706,,Technology & IT,Brand/Product Management,Product Development, Product requirements Product definition document product specifications ,,,Approved
707,,Technology & IT,Brand/Product Management,Product Design,  ,,,Approved
708,,Technology & IT,Project And Program Management,process management, process improvement ,,  ,Approved
709,,Technology & IT,Brand/Product Management,Positioning  Pricing and Packaging,  ,,,Approved
711,,Technology & IT,User Experience Design,Pixlr E,  ,, pixlr editor  image editing software  pixlr-e ,Approved
712,,Technology & IT,User Experience Design,PixelSnap,  ,, pixel snap  pixel-snap ,Approved
713,,Technology & IT,User Experience Design,Pixelmator,  ,, pixel mator  pixel-mator ,Approved
714,,Technology & IT,User Experience Design,Pixelixe API,  ,, pixelix  pixelixe-api ,Approved
715,,Technology & IT,User Experience Design,Pixaki,  ,,  ,Approved
716,,Technology & IT,User Experience Design,PaintCode,  ,, paint-code  paint code ,Approved
717,,Technology & IT,Project And Program Management,Notion,  ,,  ,Approved
718,,Technology & IT,User Experience Design,NextUX,  ,, next ux  next-ux ,Approved
719,,Technology & IT,Project And Program Management,MS PowerPoint,  ,,  ,Approved
720,,Technology & IT,Brand/Product Management,Mockups,  ,,,Approved
721,,Technology & IT,Project And Program Management,Microsoft Project,  ,, MS Project ,Approved
722,,Technology & IT,User Experience Design,Ludigraphix,  ,, ludi-graphix  ludi graphix ,Approved
723,,Technology & IT,User Experience Design,Lucidpress,  ,, lucid press  lucid-press ,Approved
724,,Technology & IT,User Experience Design,LogoSharp,  ,, logo sharp  logo-sharp ,Approved
725,,Technology & IT,User Experience Design,Little CMS,  ,, little-cms ,Approved
726,,Technology & IT,User Experience Design,Jitter,  ,,  ,Approved
728,,Technology & IT,Project And Program Management,IT Portfolio Management, Project Portfolio Managment ,,,Approved
729,,Technology & IT,User Experience Design,InVision Studio,  ,, invision-studio ,Approved
730,,Technology & IT,User Experience Design,Inkscape,  ,, ink scape ,Approved
731,,Technology & IT,Project And Program Management,Impact Analysis,  ,,  ,Approved
732,,Technology & IT,Brand/Product Management,Go-to market,  ,,,Approved
733,,Technology & IT,User Experience Design,Getillustrations,  ,, get illustrations ,Approved
734,,Technology & IT,User Experience Design,Frontify,  ,,  ,Approved
735,,Technology & IT,User Experience Design,Floonce,  ,,  ,Approved
736,,Technology & IT,Project And Program Management,flock,  ,,  ,Approved
737,,Technology & IT,User Experience Design,Figma,  ,,  ,Approved
738,,Technology & IT,Brand/Product Management,Feature backlog,Feature backlog,,,Approved
739,,Technology & IT,Brand/Product Management,Experience design,  ,,,Approved
740,,Technology & IT,User Experience Design,Dribbble,  ,,  ,Approved
741,,Technology & IT,Brand/Product Management,Digital marketing,  ,,,Approved
742,,Technology & IT,User Experience Design,DesignCap,  ,, design cap  design-cap ,Approved
743,,Technology & IT,Brand/Product Management,Customer use cases,  ,,,Approved
744,,Technology & IT,Brand/Product Management,Customer journey,,,,Approved
745,,Technology & IT,Brand/Product Management,Customer feedback,,,,Approved
746,,Technology & IT,Brand/Product Management,Customer experience management,,,,Approved
747,,Technology & IT,Brand/Product Management,Customer experience,,,,Approved
748,,Technology & IT,User Experience Design,Crello,  ,,  ,Approved
749,,Technology & IT,Project And Program Management,Cost Management, Project budgeting Budget Management ,,,Approved
750,,Technology & IT,Project And Program Management,Confluence,  ,,  ,Approved
751,,Technology & IT,Brand/Product Management,Competitive and Market analysis, Market Research  Market Trends Competitive Landscape  ,,,Approved
753,,Technology & It,Software Development And Implementation,Chain Of Responsibility Pattern,  ,,  ,Approved
754,,Technology & It,Software Development And Implementation,Ceylon,  ,,  ,Approved
755,,Technology & It,Cyber Security,Certificate Authority,  ,,  ,Approved
756,,Technology & IT,Infrastructure,Ceph,  ,,  ,Approved
757,,Technology & IT,End User Support,Centos,  ,,  ,Approved
759,,Technology & IT,Application And Data Management,Census,  ,,  ,Approved
760,,Technology & IT,Application And Data Management,Cdp,  ,,  ,Approved
761,,Technology & It,Software Development And Implementation,Cdn,  ,,  ,Approved
763,,Technology & It,Software Development And Implementation,Cci Layer Of Jca  Retrieving And Updating Data,  ,,  ,Approved
764,,Technology & It,Software Development And Implementation,Cci (common Client Interface), Role In Jee Connector Architecture Jca ,,  ,Approved
768,,Technology & IT,Application And Data Management,Cascading,  ,,  ,Approved
770,,Technology & IT,Hardware Engineering,Carbon,  ,,  ,Approved
771,,Technology & It,Cyber Security,Captcha,  ,,,Approved
773,,Technology & IT,Project And Program Management,Capacity Management,  ,,  ,Approved
774,,Technology & It,Software Development And Implementation,Cap,  ,,  ,Approved
775,,Technology & IT,Blockchain,CameLIGO,  ,,  ,Approved
776,,Technology & IT,Design And Engineering,Cam,  ,,  ,Approved
777,,Technology & It,Software Development And Implementation,Cakephp,  ,,  ,Approved
778,,Technology & IT,Blockchain,Cairo,  ,,  ,Approved
781,,Technology & IT,Design And Engineering,Cae,  ,,  ,Approved
782,,Technology & IT,Blockchain,Cadence,  ,,  ,Approved
783,,Technology & IT,Design And Engineering,Cad,  ,,  ,Approved
784,,Technology & It,Software Development And Implementation,Cabal Config,  ,,  ,Approved
785,,Technology & It,Software Development And Implementation,C2hs Haskell,  ,,  ,Approved
790,,Technology & It,Software Development And Implementation,C Libraries  Developing Eis Adapters, Capacity Performance Reliability Manageability Validity Availability Scalability Capabilities Of Architectures Extensibility Flexibility Reusability Capacity System Quality Security ,,  ,Approved
792,,Technology & IT,Business And Systems Analysis,Business-to-business,  ,,  ,Approved
794,,Technology & IT,Business And Systems Analysis,Business Tools,  ,,  ,Approved
795,,Technology & IT,Business And Systems Analysis,Business Systems,  ,,  ,Approved
797,,Technology & IT,Business And Systems Analysis,Business Management,  ,,  ,Approved
799,,Technology & It,Cyber Security,Business Impact Analysis (bia), Disaster Impact Scenarios To Generalized Threats ■ Index  Facilities Threat Mapping With Fmea Business Continuity Plan Normal Business Operations Sample Scenario Overview ,,,Approved
800,,Technology & It,Cyber Security,Business Continuity Policy,  ,,,Approved
802,,Technology & It,Cyber Security,Business Continuity,  ,,  ,Approved
803,,Technology & IT,Business And Systems Analysis,Business Communications,  ,,  ,Approved
804,,Technology & IT,Business And Systems Analysis,Business Blueprint,  ,,  ,Approved
805,,Technology & IT,Business And Systems Analysis,Business Analytics,  ,,  ,Approved
806,,Technology & IT,Business And Systems Analysis,Business Analysis,  ,,  ,Approved
808,,Technology & IT,Business And Systems Analysis,Business Acumen,  ,,  ,Approved
809,,Technology & It,Cyber Security,Burp Suite,  ,,  ,Approved
810,,Technology & It,Software Development And Implementation,Builder Pattern, Trading Case Study Business-tier Patterns Applicable Scenarios For Converting To Character Streams Interface Business Component Model  Flexibility Of Business Process Model  Creating For Securities Business Components  Role In Jee Applications Business Interface  Use With Ejb Benefits Of Business Logic Components  Support For Converting Character Streams To Byte Streams Descriptions Of Business Logic Layer In Jee  Overview Of Study Sequence For Business Methods  Declaration In Remote Availability Of Example Code For ,,  ,Approved
811,,Technology & It,Cyber Security,Build Automation,  ,,  ,Approved
812,,Technology & It,Cyber Security,Buffer Overflow,  ,,  ,Approved
813,,Technology & It,Software Development And Implementation,Buffer,  ,,  ,Approved
815,,Technology & IT,Information Technology - General,Browserslist,  ,,  ,Approved
816,,Technology & IT,Infrastructure,Brocade,  ,,  ,Approved
817,,Technology & It,Software Development And Implementation,Brightscript,  ,,  ,Approved
818,,Technology & IT,Infrastructure,Bridging,  ,,  ,Approved
819,,Technology & It,Software Development And Implementation,Bridge Pattern Uml,  ,,  ,Approved
820,,Technology & It,Software Development And Implementation,Bridge Pattern,  ,,  ,Approved
821,,Technology & It,Software Development And Implementation,Breadth First Search,  ,,  ,Approved
823,,Technology & It,Software Development And Implementation,Brainfuck,  ,,  ,Approved
824,,Technology & IT,Business And Systems Analysis,Bpm,  ,,  ,Approved
825,,Technology & It,Software Development And Implementation,Boto,  ,,  ,Approved
826,,Technology & It,Cyber Security,Botnet,  ,,,Approved
827,,Technology & IT,Hardware Engineering,Bot,  ,,  ,Approved
828,,Technology & IT,Infrastructure,Border Gateway Protocol,  ,,  ,Approved
833,,Technology & It,Software Development And Implementation,Boolean Expression,  ,,  ,Approved
834,,Technology & It,Software Development And Implementation,Boogie,  ,,  ,Approved
835,,Technology & It,Software Development And Implementation,Boo,  ,,  ,Approved
836,,Technology & It,Software Development And Implementation,Bom,  ,,  ,Approved
840,,Technology & It,Software Development And Implementation,Bmp (bean-managed Persistence), Cmp (container-managed Persistence) Entity Beans ,,  ,Approved
841,,Technology & IT,Infrastructure,Bluetooth,  ,,  ,Approved
842,,Technology & It,Software Development And Implementation,Bluespec,  ,,  ,Approved
846,,Technology & It,Software Development And Implementation,Blitzmax,  ,,  ,Approved
847,,Technology & It,Software Development And Implementation,Blitzbasic,  ,,  ,Approved
848,,Technology & IT,User Experience Design,Blender,  ,,  ,Approved
849,,Technology & It,Software Development And Implementation,Blade,  ,,  ,Approved
851,,Technology & It,Software Development And Implementation,Bitbucket,  ,,  ,Approved
853,,Technology & It,Software Development And Implementation,Bison,  ,,  ,Approved
854,,Technology & IT,Business And Systems Analysis,Bioinformatics,  ,,  ,Approved
856,,Technology & It,Software Development And Implementation,Binary Trees,  ,,  ,Approved
860,,Technology & IT,Configuration/Release Engineering,Bicep,  ,,  ,Approved
861,,Technology & It,Software Development And Implementation,Bibtex,  ,,  ,Approved
867,,Technology & It,Software Development And Implementation,Berry,  ,,  ,Approved
870,,Technology & It,Software Development And Implementation,Befunge,  ,,  ,Approved
871,,Technology & It,Software Development And Implementation,Beego,  ,,  ,Approved
872,,Technology & It,Software Development And Implementation,Beef,  ,,  ,Approved
873,,Technology & It,Software Development And Implementation,Beautifulsoup,  ,,  ,Approved
874,,Technology & IT,Application And Data Management,Bdr,  ,,  ,Approved
876,,Technology & It,Data Science,Bayesian Statistics, Con!nt Update Function Predict Constructor Print !tted Deviance Distributions Plot Residuals Model Methods Coeficients Blm Class ,,,Approved
877,,Technology & It,Data Science,Bayesian Methods,  ,,,Approved
878,,Technology & It,Data Science,Bayesian Linear Models, De!nition Polymorphic Functions Building Blocks Print Function Blm-speci!c Print Function Immutable Objects Class-speci!c Version ,,,Approved
880,,Technology & IT,Application And Data Management,Batch Processing,  ,,  ,Approved
881,,Technology & It,Software Development And Implementation,Basic,  ,,  ,Approved
883,,Technology & It,Software Development And Implementation,Base Sas,  ,,  ,Approved
884,,Technology & It,Software Development And Implementation,Ballerina,  ,,  ,Approved
885,,Technology & IT,Business And Systems Analysis,Balanced Scorecard,  ,,  ,Approved
888,,Technology & It,Software Development And Implementation,Backbone.js,  ,,  ,Approved
889,,Technology & IT,Business And Systems Analysis,Babel,  ,,  ,Approved
891,,Technology & It,Software Development And Implementation,B2b E-commerce  Using Jee Connector Architecture,  ,,  ,Approved
892,,Technology & IT,Infrastructure,Azure-to-Azure replication,  ,,  ,Approved
893,,Technology & IT,Infrastructure,Azure-Secure Socket Shell , associating NSGs with work connections (continued) secure traffic  building web (Secure Socket Shell) subnets traffic with NSGs security groups) resources creating NSGs (network creating remote access net- securing creating VMs creating NSG filtering 355INDEXsecuring  traffic with NSGs using SSH agents to connect ,,  ,Approved
894,,Technology & It,Infrastructure,Azure Websocket,  ,,,Approved
895,,Technology & IT,Infrastructure,Azure Websites,  ,,  ,Approved
896,,Technology & IT,Infrastructure,Azure Web App bots, running with LUIS building with LUIS ,,  ,Approved
897,,Technology & It,Infrastructure,Azure Vpns (virtual Private Networks),  ,,,Approved
898,,Technology & IT,Infrastructure,Azure VMs with load balancers, connectionString variable containers container orchestrator ,,  ,Approved
899,,Technology & IT,Infrastructure,Azure VMs vertically, scaling down resizing VMs ,,  ,Approved
900,,Technology & IT,Infrastructure,Azure VM storage, temporary disks standard vs  premium storage disk-caching options data disks ,,  ,Approved
901,,Technology & IT,Infrastructure,Azure VM scale sets, databases scaling creating autoscale rules scale sets  for VMs creating autoscale down VMs resources horizontally ,,  ,Approved
902,,Technology & IT,Infrastructure,Azure VM redundancy with, fault domains update domains ,,  ,Approved
903,,Technology & IT,Infrastructure,Azure VM diagnostics, monolithic application ,,  ,Approved
904,,Technology & IT,Infrastructure,Azure Virtual Machines,  ,,  ,Approved
905,,Technology & It,Infrastructure,Azure Vhd (virtual Hard Disk), Virtual Hard Disk (vhd) Creating Subnets Virtual Cpu (vcpu) Virtual Machines  See Vms Virtual Networks ,,,Approved
906,,Technology & IT,Infrastructure,Azure Vault,  ,,  ,Approved
907,,Technology & IT,Infrastructure,Azure UTC (Universal Coordinated,  ,,  ,Approved
908,,Technology & IT,Infrastructure,Azure Update Management,  ,,  ,Approved
909,,Technology & IT,Business And Systems Analysis,Azure Synapse,  ,,  ,Approved
910,,Technology & IT,Infrastructure,Azure Structured Query Language, swap with preview associating NSGs with subnets (SQL) systemAssignedIdentity ,,  ,Approved
911,,Technology & It,Infrastructure,Azure Storage Service Encryption, Azure Sql ,,,Approved
912,,Technology & IT,Infrastructure,Azure Storage, table storage queue storage adding disks to VMs redundancy storage availability benefits of ,,  ,Approved
913,,Technology & It,Infrastructure,Azure Ssh (secure Socket Shell), Ssh-keygen Command Connecting To Vms With Agents To Connect To Vms ,,,Approved
914,,Technology & IT,Infrastructure,Azure SSE (Storage Service Encryption), storing keys in Azure Key ,,  ,Approved
915,,Technology & IT,Infrastructure,Azure SQL structured databases,  ,,  ,Approved
916,,Technology & IT,Infrastructure,Azure Sql Managed Instance,  ,,  ,Approved
917,,Technology & IT,Infrastructure,Azure SQL (Structured Query),  ,,  ,Approved
918,,Technology & It,Infrastructure,Azure Spf (sender Protection), Sender Protection Framework ,,,Approved
919,,Technology & It,Infrastructure,Azure Sonic,  ,,,Approved
920,,Technology & IT,Infrastructure,Azure SOA (start-of-authority), records ,,  ,Approved
921,,Technology & It,Infrastructure,Azure Smb (server Message Block),  ,,,Approved
922,,Technology & IT,Infrastructure,Azure Site Recovery,  ,,  ,Approved
923,,Technology & IT,Infrastructure,Azure Service Fabric,  ,,  ,Approved
924,,Technology & IT,Infrastructure,Azure Service Bus,  ,,  ,Approved
925,,Technology & It,Infrastructure,Azure Sender Protection Framework, Serial Vms (spf) ,,,Approved
926,,Technology & IT,Infrastructure,Azure Security Center Overview, window ,Azure skill,  ,Approved
927,,Technology & It,Infrastructure,Azure Security Center Nsgs,  ,,,Approved
928,,Technology & IT,Infrastructure,Azure Security Center,  ,,  ,Approved
929,,Technology & IT,Infrastructure,Azure Search,  ,,  ,Approved
930,,Technology & IT,Infrastructure,Azure SAS (shared access signature), token scaling web apps scaling resources benefits of horizontally scalable apps scaling web apps vertically scaling VMs vertically ,,  ,Approved
931,,Technology & IT,Infrastructure,Azure SaaS (Software as a Service),  ,,  ,Approved
932,,Technology & IT,Infrastructure,Azure RTO (recovery time objective), runbooks  for Azure ,,  ,Approved
933,,Technology & IT,Infrastructure,Azure RPO (recovery point objective),  ,,  ,Approved
934,,Technology & IT,Infrastructure,Azure RPM (revolutions per minute),  ,,  ,Approved
935,,Technology & IT,Infrastructure,Azure RowKey,  ,,  ,Approved
936,,Technology & IT,Infrastructure,Azure RootManageSharedAccessKey, routing direct traffic with Net- work Address Transla- tion rules ,,  ,Approved
937,,Technology & IT,Infrastructure,Azure REST (Representational State Transfer),  ,,  ,Approved
938,,Technology & IT,Infrastructure,Azure Resource Manager, creating multiples of protecting resources with tools to build storing templates for resources securing and controlling resources with tags resource types managing and grouping tion lifecycle approach to designing around applica- locks ,,  ,Approved
939,,Technology & IT,Infrastructure,Azure Remote Desktop Protocol, (RDP) connection ,,  ,Approved
940,,Technology & IT,Infrastructure,Azure RDP (Remote Desktop Protocol), readLocations read/write caching recovery point objective read-access geo-redundant stor- read-only cache policy col) connection age (RA-GRS) ,,  ,Approved
941,,Technology & IT,Infrastructure,Azure RBAC (role-based access, control) ,,  ,Approved
942,,Technology & IT,Infrastructure,Azure Raspberry Pi,  ,,  ,Approved
943,,Technology & IT,Infrastructure,Azure RA-GRS (read-access geo-, redundant storage) ,,  ,Approved
944,,Technology & IT,Infrastructure,Azure Quickstart templates,  ,,  ,Approved
945,,Technology & IT,Infrastructure,Azure Queue storage, quotas ,,  ,Approved
946,,Technology & IT,Infrastructure,Azure Public Key box  SSH, pull servers ,,  ,Approved
948,,Technology & IT,Infrastructure,Azure PowerShell, virtualization in troubleshooting overview of storage in local Azure CLI ,,  ,Approved
949,,Technology & IT,Infrastructure,Azure portal,  ,,  ,Approved
950,,Technology & IT,Infrastructure,Azure platform, management tools ,,  ,Approved
951,,Technology & IT,Infrastructure,Azure PartitionKey, performance metrics performance routing performance conditions  alerts ,,  ,Approved
952,,Technology & IT,Infrastructure,Azure PaaS (Platform as a Service), parallel VMs parameters ,,  ,Approved
953,,Technology & IT,Infrastructure,Azure OMS (Operations Management, reviewing and applying ment Suite) 351INDEXAzure Web Apps managing web apps overview of updates supported languages and action environments viewing web servers in ,,  ,Approved
954,,Technology & IT,Infrastructure,Azure Numerics,  ,,  ,Approved
955,,Technology & It,Infrastructure,Azure Nsgs, Associating Nsgs With Subnets Creating Nsg Filtering Rules Creating Nsgs ,,,Approved
956,,Technology & IT,Infrastructure,Azure NoSQL, databases) ,,  ,Approved
957,,Technology & IT,Infrastructure,Azure NICs (network interface cards),  ,,  ,Approved
958,,Technology & IT,Infrastructure,Azure Networking, subnets using SSH agents to con- creating VMs building sample web applica- creating NSG filtering creating NSGs network connections tions with secure traffic securing and controlling traf- virtual network components rules creating subnets creating remote access fic with NSGs associating NSGs with nect to VMs creating virtual networks ,,  ,Approved
959,,Technology & IT,Infrastructure,Azure Network Watcher, viewing effective NSG rules capturing network packets verifying IP flows ,,  ,Approved
960,,Technology & IT,Infrastructure,Azure Network Address Trans-, creating and configuring lation rules ,,  ,Approved
961,,Technology & IT,Infrastructure,Azure NAT (Network Address Translation),  ,,  ,Approved
962,,Technology & IT,Infrastructure,Azure MSIs, managed service identity (MSI) ,,  ,Approved
963,,Technology & It,Data Science,Azure Monitor,  ,,  ,Approved
964,,Technology & IT,Infrastructure,Azure MOF (Managed Object For-, monitoring mat) file ,,  ,Approved
